0;0
30;0
60;0
90;0
120;0
150;0
180;0
210;0
240;0
270;0
300;0
330;0
360;0
390;0
420;0
450;0
480;0
510;0
540;0
0;540
30;540
60;540
90;540
120;540
150;540
180;540
210;540
240;540
270;540
300;540
330;540
360;540
390;540
420;540
450;540
480;540
510;540
0;30
0;60
0;90
0;120
0;150
0;180
0;210
0;240
0;270
0;300
0;330
0;360
0;390
0;420
0;450
0;480
0;510
0;540
540;30
540;60
540;90
540;120
540;150
540;180
540;210
540;240
540;270
540;300
540;330
540;360
540;390
540;420
540;450
540;480
540;510
540;540
240;390
270;390
300;390
450;300
90;300
